기간	자치구	총이동	총이동	총이동	총이동	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	순이동	순이동	순이동
기간	자치구	총전입(①+②+④)	총전입(①+②+④)	총전입(①+②+④)	총전출(①+③+⑤)	총전출(①+③+⑤)	총전출(①+③+⑤)	구내이동(①)	구내이동(①)	구내이동(①)	구간이동	구간이동	구간이동	구간이동	구간이동	구간이동	전입(④)	전입(④)	전입(④)	전출(⑤)	전출(⑤)	전출(⑤)	순이동	순이동	순이동
기간	자치구	총전입(①+②+④)	총전입(①+②+④)	총전입(①+②+④)	총전출(①+③+⑤)	총전출(①+③+⑤)	총전출(①+③+⑤)	구내이동(①)	구내이동(①)	구내이동(①)	전입(②)	전입(②)	전입(②)	전출(③)	전출(③)	전출(③)	전입(④)	전입(④)	전입(④)	전출(⑤)	전출(⑤)	전출(⑤)	순이동	순이동	순이동
기간	자치구	소계	남자	여자	소계	남자	여자	소계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2019	송파구	123,273	59,829	63,444	116,301	57,303	58,998	44,397	21,494	22,903	41,824	20,219	21,605	32,620	15,952	16,668	37,052	18,116	18,936	39,284	19,857	19,427	6,972	2,526	4,446
2019	강동구	75,101	37,277	37,824	67,292	33,940	33,352	27,754	13,759	13,995	25,919	12,848	13,071	15,175	7,569	7,606	21,428	10,670	10,758	24,363	12,612	11,751	7,809	3,337	4,472
2020	서울특별시	1,578,127	769,349	808,778	1,642,977	810,728	832,249	444,682	215,633	229,049	623,431	303,371	320,060	623,431	303,371	320,060	510,014	250,345	259,669	574,864	291,724	283,140	-64,850	-41,379	-23,471
2020	종로구	23,632	11,752	11,880	25,254	12,642	12,612	3,355	1,649	1,706	11,704	5,776	5,928	13,881	6,863	7,018	8,573	4,327	4,246	8,018	4,130	3,888	-1,622	-890	-732
2020	중구	20,777	10,247	10,530	21,733	10,901	10,832	3,290	1,645	1,645	10,760	5,334	5,426	11,997	5,977	6,020	6,727	3,268	3,459	6,446	3,279	3,167	-956	-654	-302
2020	용산구	40,282	19,555	20,727	38,985	19,194	19,791	7,599	3,662	3,937	19,374	9,489	9,885	18,523	9,211	9,312	13,309	6,404	6,905	12,863	6,321	6,542	1,297	361	936
2020	성동구	45,153	22,186	22,967	53,096	26,310	26,786	10,312	4,994	5,318	20,969	10,274	10,695	26,826	13,189	13,637	13,872	6,918	6,954	15,958	8,127	7,831	-7,943	-4,124	-3,819
2020	광진구	55,926	26,691	29,235	60,703	29,594	31,109	15,474	7,380	8,094	21,585	10,341	11,244	24,944	11,970	12,974	18,867	8,970	9,897	20,285	10,244	10,041	-4,777	-2,903	-1,874
2020	동대문구	54,908	27,425	27,483	58,135	29,502	28,633	14,233	7,102	7,131	22,290	11,174	11,116	24,953	12,521	12,432	18,385	9,149	9,236	18,949	9,879	9,070	-3,227	-2,077	-1,150
2020	중랑구	60,214	29,646	30,568	62,212	31,129	31,083	22,003	10,874	11,129	23,717	11,612	12,105	18,719	9,167	9,552	14,494	7,160	7,334	21,490	11,088	10,402	-1,998	-1,483	-515
2020	성북구	62,953	29,851	33,102	68,231	33,197	35,034	17,857	8,407	9,450	26,351	12,707	13,644	29,471	14,209	15,262	18,745	8,737	10,008	20,903	10,581	10,322	-5,278	-3,346	-1,932
2020	강북구	41,625	20,527	21,098	46,656	23,010	23,646	13,264	6,598	6,666	18,126	8,985	9,141	18,992	9,118	9,874	10,235	4,944	5,291	14,400	7,294	7,106	-5,031	-2,483	-2,548
2020	도봉구	40,435	19,894	20,541	47,892	23,895	23,997	13,305	6,506	6,799	17,053	8,339	8,714	17,260	8,430	8,830	10,077	5,049	5,028	17,327	8,959	8,368	-7,457	-4,001	-3,456
2020	노원구	68,176	33,170	35,006	77,707	38,453	39,254	23,390	11,248	12,142	24,801	11,938	12,863	25,592	12,472	13,120	19,985	9,984	10,001	28,725	14,733	13,992	-9,531	-5,283	-4,248
2020	은평구	76,364	36,139	40,225	76,165	36,984	39,181	27,771	13,173	14,598	27,369	12,894	14,475	19,373	9,298	10,075	21,224	10,072	11,152	29,021	14,513	14,508	199	-845	1,044
2020	서대문구	56,504	26,904	29,600	53,579	26,011	27,568	12,499	5,976	6,523	25,780	12,425	13,355	23,620	11,335	12,285	18,225	8,503	9,722	17,460	8,700	8,760	2,925	893	2,032
2020	마포구	66,215	30,654	35,561	68,667	32,459	36,208	15,705	7,284	8,421	27,864	13,064	14,800	30,927	14,400	16,527	22,646	10,306	12,340	22,035	10,775	11,260	-2,452	-1,805	-647
2020	양천구	64,081	31,599	32,482	68,021	33,900	34,121	19,084	9,290	9,794	27,259	13,275	13,984	25,827	12,716	13,111	17,738	9,034	8,704	23,110	11,894	11,216	-3,940	-2,301	-1,639
2020	강서구	87,198	41,984	45,214	99,573	48,749	50,824	27,937	13,280	14,657	29,883	14,527	15,356	29,855	14,490	15,365	29,378	14,177	15,201	41,781	20,979	20,802	-12,375	-6,765	-5,610
2020	구로구	60,885	30,391	30,494	64,024	31,984	32,040	14,660	7,164	7,496	20,745	10,468	10,277	21,172	10,428	10,744	25,480	12,759	12,721	28,192	14,392	13,800	-3,139	-1,593	-1,546
2020	금천구	35,753	18,315	17,438	36,963	19,241	17,722	9,476	4,762	4,714	11,899	6,011	5,888	10,542	5,432	5,110	14,378	7,542	6,836	16,945	9,047	7,898	-1,210	-926	-284
2020	영등포구	79,309	39,400	39,909	68,526	34,518	34,008	17,224	8,662	8,562	36,063	17,805	18,258	28,497	14,149	14,348	26,022	12,933	13,089	22,805	11,707	11,098	10,783	4,882	5,901
2020	동작구	64,496	31,424	33,072	69,650	34,347	35,303	13,784	6,647	7,137	27,698	13,286	14,412	32,236	15,659	16,577	23,014	11,491	11,523	23,630	12,041	11,589	-5,154	-2,923	-2,231
2020	관악구	98,301	50,052	48,249	103,226	52,372	50,854	27,197	13,703	13,494	29,962	15,066	14,896	37,731	18,498	19,233	41,142	21,283	19,859	38,298	20,171	18,127	-4,925	-2,320	-2,605
2020	서초구	71,250	34,107	37,143	77,669	37,161	40,508	19,374	9,206	10,168	30,117	14,441	15,676	34,269	16,184	18,085	21,759	10,460	11,299	24,026	11,771	12,255	-6,419	-3,054	-3,365
2020	강남구	95,325	46,031	49,294	101,582	48,993	52,589	26,024	12,375	13,649	36,333	17,707	18,626	42,554	20,442	22,112	32,968	15,949	17,019	33,004	16,176	16,828	-6,257	-2,962	-3,295
2020	송파구	106,928	51,533	55,395	116,457	57,002	59,455	35,767	17,238	18,529	36,313	17,362	18,951	38,141	18,474	19,667	34,848	16,933	17,915	42,549	21,290	21,259	-9,529	-5,469	-4,060
2020	강동구	101,437	49,872	51,565	78,271	39,180	39,091	34,098	16,808	17,290	39,416	19,071	20,345	17,529	8,739	8,790	27,923	13,993	13,930	26,644	13,633	13,011	23,166	10,692	12,474
